Date,Open,High,Low,Close,index
2018-01-31,1664.949951171875,1674.7099609375,1658.8199462890625,1664.6800537109375,1.0
2018-02-01,1664.199951171875,1671.6300048828125,1659.1199951171875,1664.3699951171875,1.0
2018-02-02,1660.52001953125,1660.52001953125,1628.5400390625,1629.56005859375,1.0
2018-02-05,1627.1199951171875,1630.1300048828125,1560.31005859375,1564.6600341796875,1.0
2018-02-06,1562.699951171875,1593.530029296875,1538.5400390625,1589.780029296875,1.0
2018-02-07,1589.780029296875,1607.9200439453125,1583.1199951171875,1583.1800537109375,1.0
2018-02-08,1584.1500244140625,1584.6300048828125,1525.260009765625,1525.260009765625,-1.0
2018-02-09,1525.780029296875,1557.1300048828125,1496.93994140625,1546.550048828125,-1.0
2018-02-12,1547.52001953125,1576.510009765625,1547.0,1567.1600341796875,1.0
2018-02-13,1566.969970703125,1574.68994140625,1557.1099853515625,1571.52001953125,1.0
2018-02-14,1568.27001953125,1595.5699462890625,1563.2099609375,1593.6700439453125,1.0
2018-02-15,1596.9100341796875,1612.6300048828125,1588.8299560546875,1612.530029296875,1.0
2018-02-16,1611.81005859375,1625.8900146484375,1609.719970703125,1613.550048828125,1.0
2018-02-20,1612.8299560546875,1616.81005859375,1598.9300537109375,1603.97998046875,1.0
2018-02-21,1603.989990234375,1622.6700439453125,1596.3199462890625,1596.3299560546875,1.0
2018-02-22,1597.68994140625,1613.1300048828125,1593.97998046875,1597.1099853515625,1.0
2018-02-23,1597.75,1621.949951171875,1597.75,1621.739990234375,1.0
2018-02-26,1624.2900390625,1639.81005859375,1624.27001953125,1639.1700439453125,1.0
2018-02-27,1639.06005859375,1644.31005859375,1618.06005859375,1618.0899658203125,1.0
2018-02-28,1618.9200439453125,1627.4000244140625,1599.97998046875,1600.1500244140625,1.0
2018-03-01,1600.239990234375,1609.5999755859375,1570.4300537109375,1581.1700439453125,1.0
2018-03-02,1578.8599853515625,1594.06005859375,1563.9300537109375,1591.3800048828125,1.0
2018-03-05,1589.5,1612.68994140625,1582.800048828125,1608.6099853515625,1.0
2018-03-06,1608.6099853515625,1615.550048828125,1603.8399658203125,1614.5699462890625,1.0
2018-03-07,1608.9200439453125,1617.489990234375,1601.219970703125,1615.3299560546875,1.0
2018-03-08,1616.3699951171875,1622.1400146484375,1612.1400146484375,1621.239990234375,1.0
2018-03-09,1623.8900146484375,1648.469970703125,1623.8900146484375,1648.4599609375,1.0
2018-03-12,1649.469970703125,1654.3299560546875,1644.8299560546875,1647.4100341796875,-1.0
2018-03-13,1650.97998046875,1657.6700439453125,1633.6400146484375,1637.18994140625,1.0
2018-03-14,1638.8299560546875,1643.8499755859375,1625.5699462890625,1628.18994140625,1.0
2018-03-15,1628.22998046875,1634.8900146484375,1622.6800537109375,1625.9000244140625,1.0
2018-03-16,1626.97998046875,1634.56005859375,1626.97998046875,1629.6800537109375,1.0
2018-03-19,1625.7099609375,1625.7099609375,1596.9200439453125,1607.68994140625,1.0
2018-03-20,1608.06005859375,1614.18994140625,1606.1700439453125,1609.97998046875,1.0
2018-03-21,1609.989990234375,1623.0,1607.3299560546875,1608.5699462890625,1.0
2018-03-22,1605.0699462890625,1605.0699462890625,1568.260009765625,1568.719970703125,1.0
2018-03-23,1569.0400390625,1576.22998046875,1535.2099609375,1536.27001953125,1.0
2018-03-26,1537.5899658203125,1577.9200439453125,1537.5899658203125,1576.5,1.0
2018-03-27,1578.31005859375,1584.3399658203125,1540.280029296875,1549.02001953125,1.0
2018-03-28,1547.6800537109375,1559.300048828125,1538.0699462890625,1544.780029296875,1.0
2018-03-29,1548.1800537109375,1575.75,1548.1800537109375,1565.56005859375,1.0
2018-04-02,1562.260009765625,1563.68994140625,1515.050048828125,1530.280029296875,1.0
2018-04-03,1530.8699951171875,1552.010009765625,1527.5899658203125,1549.3299560546875,1.0
2018-04-04,1545.199951171875,1569.93994140625,1527.780029296875,1567.0899658203125,1.0
2018-04-05,1570.489990234375,1582.949951171875,1570.489990234375,1578.02001953125,1.0
2018-04-06,1573.780029296875,1574.530029296875,1533.699951171875,1544.280029296875,1.0
2018-04-09,1547.47998046875,1571.6500244140625,1547.3699951171875,1548.510009765625,1.0
2018-04-10,1550.7900390625,1579.5899658203125,1550.7900390625,1574.6700439453125,1.0
