DATE,EXPINF5YR
1982-01-01,6.4809404
1982-02-01,6.404901
1982-03-01,6.027709
1982-04-01,6.0649134
1982-05-01,5.9439188
1982-06-01,5.8816985
1982-07-01,6.26947
1982-08-01,6.0254417
1982-09-01,6.0024505
1982-10-01,5.5024134
1982-11-01,4.8872182
1982-12-01,5.0022245
1983-01-01,4.9032371
1983-02-01,4.9975233
1983-03-01,4.70171
1983-04-01,4.8977683
1983-05-01,4.7160543
1983-06-01,4.8201385
1983-07-01,5.0530661
1983-08-01,5.2445032
1983-09-01,5.306806
1983-10-01,5.176661
1983-11-01,5.2722768
1983-12-01,5.2879103
1984-01-01,5.2895805
1984-02-01,5.2269107
1984-03-01,5.3329609
1984-04-01,5.5447374
1984-05-01,5.6723311
1984-06-01,5.9555015
1984-07-01,5.9872872
1984-08-01,5.6286644
1984-09-01,5.6346505
1984-10-01,5.4775321
1984-11-01,5.1955653
1984-12-01,5.1964384
1985-01-01,5.2678966
1985-02-01,5.1681521
1985-03-01,5.4160472
1985-04-01,5.1858666
1985-05-01,5.1176656
1985-06-01,4.7352092
1985-07-01,4.6871707
1985-08-01,4.8273963
1985-09-01,4.7479857
1985-10-01,4.7330919
1985-11-01,4.60993
1985-12-01,4.4539531
1986-01-01,4.212592
1986-02-01,4.2082108
1986-03-01,3.8096178
1986-04-01,3.5732099
1986-05-01,3.5965277
1986-06-01,3.970955
1986-07-01,3.7326121
1986-08-01,3.6670792
1986-09-01,3.4832183
1986-10-01,3.6682398
1986-11-01,3.5598949
1986-12-01,3.547735
1987-01-01,3.561959
1987-02-01,3.5717725
1987-03-01,3.4019766
1987-04-01,3.6790244
1987-05-01,4.0365134
1987-06-01,3.9936579
1987-07-01,4.0378481
1987-08-01,4.1423663
1987-09-01,4.2525761
1987-10-01,4.3840176
1987-11-01,4.2185759
1987-12-01,4.3057357
1988-01-01,4.2185048
1988-02-01,3.9079721
1988-03-01,3.8587
1988-04-01,4.0993614
1988-05-01,4.1527081
1988-06-01,4.2013861
1988-07-01,4.1914496
1988-08-01,4.2245312
1988-09-01,4.3112075
1988-10-01,4.1905648
1988-11-01,4.1247181
1988-12-01,4.2733455
1989-01-01,4.4231783
1989-02-01,4.3268648
1989-03-01,4.475805
1989-04-01,4.4522621
1989-05-01,4.3287558
1989-06-01,4.1293704
1989-07-01,3.9122299
1989-08-01,3.732451
1989-09-01,3.9228887
1989-10-01,3.9787139
1989-11-01,3.8128033
1989-12-01,3.74474
1990-01-01,3.9338049
1990-02-01,4.132471
1990-03-01,4.077403
1990-04-01,4.09831
1990-05-01,4.2719379
1990-06-01,4.0830436
1990-07-01,3.9965096
1990-08-01,3.9608557
1990-09-01,4.258632
1990-10-01,4.2196479
1990-11-01,4.1871576
1990-12-01,4.0668749
1991-01-01,3.9044912
1991-02-01,3.8019376
1991-03-01,3.9307824
1991-04-01,3.8447069
1991-05-01,3.8320852
1991-06-01,3.8973419
1991-07-01,3.9622367
1991-08-01,3.9151705
1991-09-01,3.7365516
1991-10-01,3.6371727
1991-11-01,3.5845422
1991-12-01,3.5340725
1992-01-01,3.3735655
1992-02-01,3.572292
1992-03-01,3.6410505
1992-04-01,3.6454319
1992-05-01,3.6681125
1992-06-01,3.610977
1992-07-01,3.4417603
1992-08-01,3.2935208
1992-09-01,3.1788101
1992-10-01,3.0571779
1992-11-01,3.3134226
1992-12-01,3.3930127
1993-01-01,3.2961372
1993-02-01,3.1436628
1993-03-01,2.9893232
1993-04-01,3.0250809
1993-05-01,2.9599668
1993-06-01,2.9650958
1993-07-01,2.9083766
1993-08-01,2.9558867
1993-09-01,2.7977435
1993-10-01,2.8056769
1993-11-01,2.8765847
1993-12-01,2.9210619
1994-01-01,2.9871292
1994-02-01,2.9222979
1994-03-01,3.1994656
1994-04-01,3.4636815
1994-05-01,3.4494182
1994-06-01,3.5072882
1994-07-01,3.5899216
1994-08-01,3.4585097
1994-09-01,3.4849932
1994-10-01,3.6959001
1994-11-01,3.8060235
1994-12-01,3.8881283
1995-01-01,3.9098209
1995-02-01,3.7985512
1995-03-01,3.6076784
1995-04-01,3.5623481
1995-05-01,3.3939611
1995-06-01,3.0388568
1995-07-01,3.1207426
