DATE,EXPINF2YR
1999-12-01,3.1956718
2000-01-01,3.2086219
2000-02-01,3.2860047
2000-03-01,3.3230982
2000-04-01,3.2126894
2000-05-01,3.3377469
2000-06-01,3.5357755
2000-07-01,3.1321545
2000-08-01,3.1448381
2000-09-01,3.1305367
2000-10-01,3.0861684
2000-11-01,3.068525
2000-12-01,3.0517213
2001-01-01,2.6453361
2001-02-01,2.6339332
2001-03-01,2.3551451
2001-04-01,2.5761276
2001-05-01,2.7287533
2001-06-01,2.7692591
2001-07-01,2.7344045
2001-08-01,2.6213124
2001-09-01,2.8887227
2001-10-01,2.3690791
2001-11-01,2.194256
2001-12-01,2.6112791
2002-01-01,2.4847076
2002-02-01,2.3711401
2002-03-01,2.3076717
2002-04-01,2.7110517
2002-05-01,2.6334649
2002-06-01,2.4701876
2002-07-01,2.4244786
2002-08-01,2.1833712
2002-09-01,2.0435106
2002-10-01,1.9701917
2002-11-01,2.0151151
2002-12-01,2.0459363
2003-01-01,2.0717663
2003-02-01,2.0847825
2003-03-01,1.8973156
2003-04-01,1.9668397
2003-05-01,1.8937931
2003-06-01,2.0196281
2003-07-01,1.7029904
2003-08-01,1.9821735
2003-09-01,2.100063
2003-10-01,1.8492293
2003-11-01,2.0163405
2003-12-01,2.1893069
2004-01-01,2.0153589
2004-02-01,2.0270527
2004-03-01,1.8418985
2004-04-01,1.8951382
2004-05-01,2.2316022
2004-06-01,2.4611454
2004-07-01,2.2811944
2004-08-01,2.3105157
2004-09-01,2.403978
2004-10-01,2.1612211
2004-11-01,2.176672
2004-12-01,1.9994394
2005-01-01,2.1829327
2005-02-01,2.190567
2005-03-01,2.3487516
2005-04-01,2.4358565
2005-05-01,2.4315978
2005-06-01,2.275794
2005-07-01,2.3060153
2005-08-01,2.4405891
2005-09-01,2.363026
2005-10-01,2.6804109
2005-11-01,2.8053208
2005-12-01,2.8832347
2006-01-01,2.4336446
2006-02-01,2.5209066
2006-03-01,2.1593927
2006-04-01,2.6704905
2006-05-01,2.7761536
2006-06-01,2.7155452
2006-07-01,2.767961
2006-08-01,2.7582447
2006-09-01,2.6166808
2006-10-01,2.4741667
2006-11-01,2.1920057
2006-12-01,2.2213158
2007-01-01,2.6191845
2007-02-01,2.6283059
2007-03-01,2.6433729
2007-04-01,2.6103851
2007-05-01,2.7137292
2007-06-01,2.9300843
2007-07-01,2.6288602
2007-08-01,2.5801123
2007-09-01,2.4857913
2007-10-01,2.3438004
2007-11-01,2.5198819
2007-12-01,2.3308079
2008-01-01,2.2853259
2008-02-01,2.103849
2008-03-01,1.8695218
2008-04-01,1.9211771
2008-05-01,2.1535028
2008-06-01,2.4364771
2008-07-01,2.5553495
2008-08-01,2.5915472
2008-09-01,2.3715854
2008-10-01,1.8029698
2008-11-01,1.3817519
2008-12-01,0.90262758
2009-01-01,0.99968559
2009-02-01,0.98104291
2009-03-01,0.55547583
2009-04-01,1.3680256
2009-05-01,1.4767959
2009-06-01,1.5561764
2009-07-01,1.6957757
2009-08-01,1.9379079
2009-09-01,2.0714713
2009-10-01,1.6690348
2009-11-01,1.78698
2009-12-01,1.7120951
2010-01-01,1.7684988
2010-02-01,1.7430196
2010-03-01,1.8467766
2010-04-01,1.7108385
2010-05-01,1.6779421
2010-06-01,1.503438
2010-07-01,1.241982
2010-08-01,1.402822
2010-09-01,1.131614
2010-10-01,1.3378753
2010-11-01,1.3337249
2010-12-01,1.4672684
2011-01-01,1.778904
2011-02-01,1.8688687
2011-03-01,1.9720195
2011-04-01,1.9833295
2011-05-01,2.0433638
2011-06-01,1.8845743
2011-07-01,2.0802072
2011-08-01,1.5134029
2011-09-01,1.1812453
2011-10-01,1.4065078
2011-11-01,1.4350988
2011-12-01,1.5504819
2012-01-01,1.415498
2012-02-01,1.4005995
2012-03-01,1.3571739
2012-04-01,1.5452227
2012-05-01,1.4563831
2012-06-01,1.0054631
2012-07-01,1.2763383
2012-08-01,1.3143955
2012-09-01,1.6019767
2012-10-01,1.436218
2012-11-01,1.4722702
2012-12-01,1.6780195
2013-01-01,1.2937453
2013-02-01,1.3478604
2013-03-01,1.1118621
2013-04-01,1.3474958
2013-05-01,1.187589
2013-06-01,1.3466257
2013-07-01,1.2295753
2013-08-01,1.6620122
2013-09-01,1.9087309
2013-10-01,1.5375874
2013-11-01,1.4801659
2013-12-01,1.7340897
2014-01-01,1.6355563
2014-02-01,1.5657335
2014-03-01,1.3828281
2014-04-01,1.6562364
2014-05-01,1.7065438
2014-06-01,1.572693
2014-07-01,1.7538415
2014-08-01,1.7376574
2014-09-01,1.8962823
2014-10-01,1.6372688
2014-11-01,1.4820998
2014-12-01,1.9005034
2015-01-01,1.2512601
2015-02-01,0.90803706
2015-03-01,1.1905723
2015-04-01,1.5536333
2015-05-01,1.6479847
2015-06-01,1.6951142
2015-07-01,1.7368344
2015-08-01,1.6649923
2015-09-01,1.77111202
2015-10-01,1.4303623
2015-11-01,1.4600444
2015-12-01,1.54426566
2016-01-01,1.56591799
2016-02-01,1.32438879
2016-03-01,1.13880477
2016-04-01,1.60181803
2016-05-01,1.60055369
2016-06-01,1.41347644
2016-07-01,1.52588979
2016-08-01,1.50597183
2016-09-01,1.7703013
2016-10-01,1.60811718
2016-11-01,1.70959141
2016-12-01,2.00056006
2017-01-01,1.90844919
2017-02-01,1.83305118
2017-03-01,1.62156608
2017-04-01,1.70730304
2017-05-01,1.62428943
2017-06-01,1.28483615
2017-07-01,1.70031704
2017-08-01,1.65485624
2017-09-01,1.86086154
2017-10-01,1.83747409
2017-11-01,1.9103705
2017-12-01,2.30590212
2018-01-01,1.8553355
2018-02-01,2.03024294
2018-03-01,1.77299649
