,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0007,0.0002,0.0021,0.0021,0.0002,0,0,0.0002,0
30dayR2,0.0048,0.0076,0.0039,0.001,0.0076,0.001,0.0018,0.0061,0.0031
50dayR2,0.0088,0.0102,0.0061,0.0017,0.0109,0.0007,0.0017,0.0073,0.0031
80dayR2,0.0143,0.0137,0.0042,0.0009,0.0151,0,0.0028,0.0101,0.0035
110dayR2,0.0223,0.0178,0.005,0.0016,0.0204,0.0011,0.0037,0.0117,0.0029
130dayR2,0.0235,0.0211,0.0053,0.0015,0.024,0.0008,0.0052,0.0134,0.0038
150dayR2,0.0244,0.0217,0.0076,0.0034,0.0242,0.0012,0.0053,0.0128,0.0032
180dayR2,0.0345,0.0308,0.0062,0.0013,0.036,0.0024,0.0087,0.0214,0.0048
,,,,,,,,,
10dayPvalues,0.4912,0.681,0.236,0.2354,0.7491,0.912,0.8934,0.7451,0.9895
30dayPvalues,0.0698,0.0222,0.1039,0.4016,0.0227,0.4184,0.2714,0.0405,0.1464
50dayPvalues,0.0143,0.0083,0.0411,0.2859,0.0062,0.4826,0.285,0.0254,0.1448
80dayPvalues,0.0017,0.0022,0.0914,0.4363,0.0013,0.8881,0.1691,0.0084,0.1226
110dayPvalues,0.0001,0.0005,0.0639,0.3005,0.0002,0.3818,0.1134,0.0046,0.1589
130dayPvalues,0.0001,0.0001,0.0559,0.3113,0,0.4615,0.0602,0.0024,0.1079
150dayPvalues,0,0.0001,0.0225,0.1302,0,0.3663,0.056,0.0031,0.1395
180dayPvalues,0,0,0.04,0.3498,0,0.1985,0.0145,0.0001,0.0693
