DATE,WM2NS
2009-12-07,8559.7
2009-12-14,8558.2
2009-12-21,8541.7
2009-12-28,8527.1
2010-01-04,8534.2
2010-01-11,8494.9
2010-01-18,8476.3
2010-01-25,8411.2
2010-02-01,8428.8
2010-02-08,8481.4
2010-02-15,8530.4
2010-02-22,8508.5
2010-03-01,8527.7
2010-03-08,8581.1
2010-03-15,8599.2
2010-03-22,8564.9
2010-03-29,8557.8
2010-04-05,8657.4
2010-04-12,8641.3
2010-04-19,8621.5
2010-04-26,8526.0
2010-05-03,8552.7
2010-05-10,8580.5
2010-05-17,8617.0
2010-05-24,8548.4
2010-05-31,8589.7
2010-06-07,8651.4
2010-06-14,8628.3
2010-06-21,8599.9
2010-06-28,8556.2
2010-07-05,8604.4
2010-07-12,8598.8
2010-07-19,8573.8
2010-07-26,8534.4
2010-08-02,8585.3
2010-08-09,8626.1
2010-08-16,8631.6
2010-08-23,8579.8
2010-08-30,8586.0
2010-09-06,8670.1
2010-09-13,8682.7
2010-09-20,8646.1
2010-09-27,8603.5
2010-10-04,8692.9
2010-10-11,8715.5
2010-10-18,8738.6
2010-10-25,8667.9
2010-11-01,8705.5
2010-11-08,8768.7
2010-11-15,8788.1
2010-11-22,8764.3
2010-11-29,8785.2
2010-12-06,8829.1
2010-12-13,8848.4
2010-12-20,8857.2
2010-12-27,8874.8
2011-01-03,8888.5
2011-01-10,8887.3
2011-01-17,8910.1
2011-01-24,8790.0
2011-01-31,8789.4
2011-02-07,8868.3
2011-02-14,8886.0
2011-02-21,8886.0
2011-02-28,8908.2
2011-03-07,8996.3
2011-03-14,9009.4
2011-03-21,9005.3
2011-03-28,8984.6
2011-04-04,9070.3
2011-04-11,9077.5
2011-04-18,9094.1
2011-04-25,9016.5
2011-05-02,8997.9
2011-05-09,9027.8
2011-05-16,9050.4
2011-05-23,8998.5
2011-05-30,9017.1
2011-06-06,9094.4
2011-06-13,9095.1
2011-06-20,9105.3
2011-06-27,9117.1
2011-07-04,9251.5
2011-07-11,9246.0
2011-07-18,9244.6
2011-07-25,9211.2
2011-08-01,9387.6
2011-08-08,9460.5
2011-08-15,9480.6
2011-08-22,9458.9
2011-08-29,9437.3
2011-09-05,9521.1
2011-09-12,9523.1
2011-09-19,9497.9
2011-09-26,9448.5
2011-10-03,9538.8
2011-10-10,9559.5
2011-10-17,9596.6
2011-10-24,9498.6
2011-10-31,9528.6
2011-11-07,9636.7
2011-11-14,9657.6
2011-11-21,9620.6
2011-11-28,9616.6
2011-12-05,9686.0
2011-12-12,9717.5
2011-12-19,9719.5
2011-12-26,9714.2
2012-01-02,9826.7
2012-01-09,9823.8
2012-01-16,9805.5
2012-01-23,9710.7
2012-01-30,9677.5
2012-02-06,9764.7
2012-02-13,9792.0
2012-02-20,9791.6
2012-02-27,9777.0
2012-03-05,9887.8
2012-03-12,9908.9
2012-03-19,9904.2
2012-03-26,9866.8
2012-04-02,9959.8
2012-04-09,10025.3
2012-04-16,10026.5
2012-04-23,9888.5
2012-04-30,9837.0
2012-05-07,9906.3
2012-05-14,9904.2
2012-05-21,9877.1
2012-05-28,9845.2
2012-06-04,9939.2
2012-06-11,9987.3
2012-06-18,9986.5
2012-06-25,9890.0
2012-07-02,9990.2
2012-07-09,10042.6
2012-07-16,10035.9
2012-07-23,9958.1
2012-07-30,9973.9
2012-08-06,10068.3
2012-08-13,10089.3
2012-08-20,10062.9
2012-08-27,10033.3
2012-09-03,10131.5
2012-09-10,10177.9
2012-09-17,10198.5
2012-09-24,10095.5
2012-10-01,10196.6
2012-10-08,10241.3
2012-10-15,10273.4
2012-10-22,10209.7
2012-10-29,10220.2
2012-11-05,10373.4
2012-11-12,10341.1
2012-11-19,10338.9
2012-11-26,10311.4
2012-12-03,10410.9
2012-12-10,10462.2
2012-12-17,10526.9
2012-12-24,10549.5
2012-12-31,10615.7
2013-01-07,10630.2
2013-01-14,10562.3
2013-01-21,10475.0
2013-01-28,10398.2
2013-02-04,10464.8
2013-02-11,10486.9
2013-02-18,10480.5
2013-02-25,10448.6
2013-03-04,10572.1
2013-03-11,10599.3
2013-03-18,10627.2
2013-03-25,10581.9
