Date,Hurst Exponent,label,Open,High,Low,Close,Adj Close,Volume
2008-03-31,0.7362541624991694,1,1315.9200439453125,1328.52001953125,1312.81005859375,1322.699951171875,1322.699951171875,4188990000.0
2008-04-15,0.7445471473443703,1,1331.719970703125,1337.719970703125,1324.3499755859375,1334.4300537109375,1334.4300537109375,3581230000.0
2008-04-30,0.7501499834037011,1,1391.219970703125,1404.5699462890625,1384.25,1385.5899658203125,1385.5899658203125,4508890000.0
2008-05-15,0.7544607958502507,1,1408.3599853515625,1424.4000244140625,1406.8699951171875,1423.5699462890625,1423.5699462890625,3836480000.0
2008-05-30,0.756937318357063,1,1398.3599853515625,1404.4599609375,1398.0799560546875,1400.3800048828125,1400.3800048828125,3845630000.0
2008-06-13,0.757573612031857,1,1341.81005859375,1360.030029296875,1341.7099609375,1360.030029296875,1360.030029296875,4080420000.0
2008-06-30,0.7567235284695545,1,1278.06005859375,1290.31005859375,1274.8599853515625,1280.0,1280.0,5032330000.0
2008-07-15,0.7549968687973374,1,1226.8299560546875,1234.3499755859375,1200.43994140625,1214.9100341796875,1214.9100341796875,7363640000.0
2008-07-31,0.752057147844995,1,1281.3699951171875,1284.9300537109375,1265.969970703125,1267.3800048828125,1267.3800048828125,5346050000.0
2008-08-15,0.7535079805954618,1,1293.8499755859375,1302.050048828125,1290.739990234375,1298.199951171875,1298.199951171875,4041820000.0
2008-08-29,0.7543198354374976,1,1296.489990234375,1297.5899658203125,1282.739990234375,1282.8299560546875,1282.8299560546875,3288120000.0
2008-09-15,0.752305060759849,1,1250.9200439453125,1250.9200439453125,1192.699951171875,1192.699951171875,1192.699951171875,8279510000.0
2008-09-30,0.7455243972357272,1,1113.780029296875,1168.030029296875,1113.780029296875,1166.3599853515625,1166.3599853515625,4937680000.0
2008-10-15,0.7192475507673793,1,994.5999755859376,994.5999755859376,903.989990234375,907.8400268554688,907.8400268554688,6542330000.0
2008-10-31,0.7133145998068171,1,953.1099853515624,984.3800048828124,944.5900268554688,968.75,968.75,6394350000.0
2008-11-14,0.6784099889930971,1,904.3599853515624,916.8800048828124,869.8800048828125,873.2899780273438,873.2899780273438,5881030000.0
2008-11-28,0.6621526750157541,1,886.8900146484375,896.25,881.2100219726562,896.239990234375,896.239990234375,2740860000.0
2008-12-15,0.6811698018144028,1,881.0700073242188,884.6300048828125,857.719970703125,868.5700073242188,868.5700073242188,4982390000.0
2008-12-31,0.6960150301484374,1,890.5900268554688,910.3200073242188,889.6699829101562,903.25,903.25,4172940000.0
2009-01-15,0.7111207109785551,1,841.989990234375,851.5900268554688,817.0399780273438,843.739990234375,843.739990234375,7807350000.0
2009-01-30,0.7183328857791655,1,845.6900024414062,851.6599731445312,821.6699829101562,825.8800048828125,825.8800048828125,5350580000.0
2009-02-13,0.7282929752745356,1,833.9500122070312,839.4299926757812,825.2100219726562,826.8400268554688,826.8400268554688,5296650000.0
2009-02-27,0.7370503880135095,1,749.9299926757812,751.27001953125,734.52001953125,735.0900268554688,735.0900268554688,8926480000.0
2009-03-13,0.743784514246704,1,751.969970703125,758.2899780273438,742.4600219726562,756.5499877929688,756.5499877929688,6787090000.0
2009-03-31,0.7486143109723599,1,790.8800048828125,810.47998046875,790.8800048828125,797.8699951171875,797.8699951171875,6089100000.0
