,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0706,0.3907,0.1252,0.181,0.3692,0.001,0.3832,0.3474,0.3501
30dayR2,0.0488,0.2895,0.1206,0.1566,0.2687,0.0,0.3011,0.2592,0.2689
50dayR2,0.0389,0.2291,0.1114,0.1467,0.2158,0.0001,0.2434,0.2116,0.2134
80dayR2,0.0345,0.1804,0.1023,0.1392,0.1754,0.0007,0.1922,0.1757,0.1654
110dayR2,0.0294,0.1491,0.0962,0.1373,0.1489,0.0008,0.1602,0.1533,0.1372
130dayR2,0.0285,0.1336,0.0954,0.1421,0.1374,0.0011,0.1428,0.1445,0.1217
150dayR2,0.0286,0.1224,0.0985,0.1516,0.1298,0.0015,0.13,0.1399,0.1109
180dayR2,0.0292,0.1036,0.1026,0.1548,0.1139,0.0036,0.1096,0.1257,0.0938
10dayPvalues,0.0,0.0,0.0,0.0,0.0,0.4117,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0,0.0,0.9838,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0,0.0,0.8166,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.0,0.0,0.4848,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0,0.0,0.0,0.4637,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0,0.0,0.0,0.3849,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0,0.0,0.0,0.3098,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0,0.0,0.0,0.1187,0.0,0.0,0.0
